id,realtionship_status,industry,genre,Targeted Sex,average_min_perweek,Airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
19717,Married-spouse-absent,Auto,Comedy,Male,45,Primetime,United-States,0.027464672,High,No,FALSE
31593,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,No,FALSE
5681,Divorced,Entertainment,Comedy,Female,45,Primetime,United-States,0.027464672,High,Yes,FALSE
15491,Separated,Political,Infomercial,Female,40,Primetime,United-States,0.027464672,Low,No,FALSE
23587,Married-civ-spouse,Pharma,Comedy,Male,48,Primetime,United-States,0.027464672,High,No,TRUE
28523,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
12290,Married-civ-spouse,Pharma,Infomercial,Male,50,Morning,Outlying-US(Guam-USVI-etc),0.027464672,High,No,FALSE
20866,Never-married,Political,Infomercial,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
21312,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
16479,Never-married,ClassAction,Comedy,Female,35,Morning,United-States,0.027464672,Low,No,FALSE
9875,Never-married,Political,Infomercial,Male,20,Primetime,United-States,0.027464672,High,No,FALSE
23314,Never-married,Auto,Comedy,Female,25,Morning,United-States,0.027464672,Low,No,FALSE
9457,Married-civ-spouse,Pharma,Comedy,Male,72,Daytime,United-States,0.057642745,Low,Yes,FALSE
6387,Never-married,Political,Infomercial,Male,48,Morning,United-States,0.027464672,Low,No,FALSE
10499,Never-married,Political,Comedy,Male,35,Primetime,United-States,0.027464672,Low,No,FALSE
27353,Married-spouse-absent,Political,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
52,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Mexico,0.027464672,High,Yes,FALSE
5380,Married-civ-spouse,Pharma,Comedy,Male,56,Morning,United-States,0.173579841,Medium,No,TRUE
7209,Married-civ-spouse,Political,Drama,Male,40,Morning,Laos,0.027464672,Low,Yes,FALSE
7660,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,No,TRUE
26880,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Medium,No,FALSE
10217,Married-civ-spouse,Pharma,Comedy,Male,60,Daytime,United-States,0.118747751,High,No,TRUE
12594,Married-civ-spouse,Pharma,Comedy,Male,25,Daytime,United-States,0.027464672,Low,No,FALSE
17290,Never-married,Political,Comedy,Female,35,Morning,United-States,0.027464672,Low,Yes,FALSE
29820,Widowed,Entertainment,Infomercial,Female,20,Primetime,United-States,0.027464672,Low,Yes,FALSE
28656,Never-married,Entertainment,Infomercial,Female,40,Morning,United-States,0.027464672,Low,No,FALSE
