id,realtionship_status,Industry,genre,Targeted Sex,average_min_perweek,Airtime,airlocation,ratings,expensive,money_back_guarantee
1,Widowed,Auto,Comedy,Male,10,Daytime,United-States,0.037464672,High,No
4,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.056261731,Low,Yes
5,Divorced,Entertainment,Comedy,Male,50,Morning,United-States,0.037464672,High,No
9,Married-civ-spouse,Pharma,Infomercial,Female,40,Primetime,United-States,0.037464672,High,No
10,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
20,Never-married,Entertainment,Comedy,Male,40,Primetime,United-States,0.037464672,High,No
28,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.063195978,Low,Yes
31,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
32,Divorced,Political,Comedy,Female,25,Morning,United-States,0.037464672,High,Yes
34,Widowed,Entertainment,Comedy,Male,60,Primetime,United-States,0.037464672,High,Yes
35,Divorced,Auto,Infomercial,Male,24,Primetime,United-States,0.037464672,Medium,No
37,Married-civ-spouse,Pharma,Direct,Female,2,Daytime,United-States,0.037464672,High,No
42,Married-civ-spouse,Pharma,Comedy,Female,55,Primetime,United-States,0.037464672,Medium,No
44,Never-married,Auto,Comedy,Male,46,Morning,Italy,0.048607802,High,No
48,Never-married,Political,Comedy,Female,25,Morning,United-States,0.037464672,Low,Yes
53,Married-civ-spouse,Pharma,Comedy,Female,35,Morning,United-States,0.037464672,High,No
56,Widowed,Auto,Drama,Male,45,Daytime,Philippines,0.037464672,High,No
68,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.037464672,Low,Yes
69,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
71,Never-married,ClassAction,Comedy,Female,25,Daytime,International,0.037464672,Low,Yes
93,Married-civ-spouse,Pharma,Comedy,Female,45,Primetime,United-States,0.037464672,High,Yes
102,Separated,Entertainment,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
112,Separated,Auto,Comedy,Male,40,Primetime,United-States,0.159244527,Medium,No
113,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,No
118,Never-married,Auto,Comedy,Female,40,Morning,Ecuador,0.037464672,High,Yes
121,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
127,Married-civ-spouse,Pharma,Comedy,Female,45,Primetime,United-States,0.037464672,High,Yes
146,Married-civ-spouse,Pharma,Comedy,Female,8,Daytime,United-States,0.037464672,Low,Yes
158,Never-married,ClassAction,Infomercial,Male,20,Morning,United-States,0.037464672,High,Yes
166,Never-married,Political,Comedy,Female,30,Morning,United-States,0.037464672,Medium,No
169,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
171,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
174,Divorced,Political,Comedy,Male,40,Primetime,United-States,0.037464672,Low,No
